,name,location,description,score,url,lat,lon,rank,lat_location,lon_location,Forecast
78,Résidence du Soleil,Collioure,"Set 400 metres from Collioure Royal Castle in Collioure and 100 metres from the beach, this apartment located in the city center features a terrace and a garden. ",7.8,https://www.booking.com/hotel/fr/residence-du-soleil-collioure.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,42.52311754,3.0854253,19,42.52505,3.0831554,12.92
79,Hotel Méditerranée,Collioure,"Featuring a Mediterranean garden and a terrace, Hotel Méditerranée offers accommodation in Collioure, a 5-minute walk from the nearest beach. ",7.7,https://www.booking.com/hotel/fr/mediterranee-collioure.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,42.52708254,3.08026291,20,42.52505,3.0831554,12.92
80,Plage & Calanques Cassis,Cassis,"Plage & Calanques Cassis is located in Cassis, 1.5 km from Grande Mer and 1.9 km from Anse de Corton Beach, in an area where hiking can be enjoyed. ",9.7,https://www.booking.com/hotel/fr/cote-calanques-cassis.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.2120018,5.5276305,1,43.2140359,5.5396318,11.67
81,T2 VUE IMPRENABLE SUR CASSIS,Cassis,Managed by a private host,9.5,https://www.booking.com/hotel/fr/t2-vue-imprenable-sur-cassis.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from=searchresults#hotelTmpl,43.21462214,5.53477276,2,43.2140359,5.5396318,11.67
82,Chambre d'hôtes Clos du Petit Jésus,Cassis,"Located in Cassis, just a 5-minute walk from the beach, Clos du Petit Jésus offers an outdoor swimming pool, a private terrace and an area for sun bathing. ",9.5,https://www.booking.com/hotel/fr/clos-du-petit-ja-c-sus.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from=searchresults#hotelTmpl,43.21524569,5.54466784,3,43.2140359,5.5396318,11.67
83,SunRise Cassis,Cassis,Managed by a private host,9.5,https://www.booking.com/hotel/fr/sunrise-cassis.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from=searchresults#hotelTmpl,43.21521908,5.53568187,4,43.2140359,5.5396318,11.67
84,CASSIS 72 m2 Confort et Calme Options Baby bébé,Cassis,Managed by a private host,9.4,https://www.booking.com/hotel/fr/cassis-centre-neuf-72-m2-clim-et-place-privee.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=29&hapos=29&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from=searchresults#hotelTmpl,43.21462302,5.54361251,5,43.2140359,5.5396318,11.67
85,SunSet Cassis,Cassis,Managed by a private host,9.4,https://www.booking.com/hotel/fr/sunset-cassis.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from=searchresults#hotelTmpl,43.215456,5.535734,6,43.2140359,5.5396318,11.67
86,La Demeure Insoupçonnée,Cassis,"Located in Cassis, just a 10-minute walk from the seafront, La Demeure Insoupçonnée offers bed and breakfast accommodation with panoramic views of the sea, vineyards and Cape Canaille. ",9.3,https://www.booking.com/hotel/fr/la-demeure-insoupconnee.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.2191999,5.5471365,7,43.2140359,5.5396318,11.67
87,La douceur de Cassis,Cassis,Managed by a private host,9.3,https://www.booking.com/hotel/fr/la-douceur-de-cassis.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e9d666d1d7290013&srepoch=1676471845&from_beach_sr=1&from=searchresults#hotelTmpl,43.215009,5.530956,8,43.2140359,5.5396318,11.67
